"Time (s)"	"Illuminance (lx)"
1.957226589E1	3.560000000E2
1.961242636E1	3.510000000E2
1.965261735E1	3.460000000E2
1.973348761E1	3.410000000E2
1.977309877E1	3.380000000E2
1.981325925E1	3.330000000E2
1.985341972E1	3.280000000E2
1.989361071E1	3.230000000E2
1.997445045E1	3.150000000E2
2.001406162E1	3.100000000E2
2.005422209E1	3.050000000E2
2.009438256E1	2.990000000E2
2.013457356E1	2.940000000E2
2.021544381E1	2.890000000E2
2.025502446E1	2.870000000E2
2.029518493E1	2.760000000E2
2.033537592E1	2.710000000E2
2.037556692E1	2.660000000E2
2.041569687E1	2.610000000E2
2.045643717E1	2.580000000E2
2.049601782E1	2.530000000E2
2.053617830E1	2.480000000E2
2.057633877E1	2.430000000E2
2.061652976E1	2.370000000E2
2.065669023E1	2.320000000E2
2.069740001E1	2.350000000E2
2.073701118E1	2.300000000E2
2.081736265E1	2.240000000E2
2.093842389E1	2.270000000E2
2.097800454E1	2.240000000E2
2.105829497E1	2.230000000E2
2.109848596E1	2.220000000E2
2.121896739E1	2.190000000E2
2.125912786E1	2.170000000E2
2.129928833E1	2.180000000E2
2.133947932E1	2.150000000E2
2.142031906E1	2.130000000E2
2.150009070E1	2.100000000E2
2.154025118E1	2.080000000E2
2.158044217E1	2.050000000E2
2.170089307E1	2.080000000E2
2.178118350E1	2.100000000E2
2.202193273E1	2.120000000E2
2.206209320E1	2.130000000E2
2.214259725E1	2.100000000E2
2.222197217E1	2.130000000E2
2.230180484E1	2.100000000E2
2.286374631E1	2.080000000E2
2.298367842E1	2.100000000E2
2.302380838E1	1.990000000E2
2.306390782E1	0.000000000E0
