"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.921289978E0	4.097411036E-2	1.294412613E-1	-3.051775694E-1	3.340168659E-1
1.929346509E0	2.168926597E-2	1.270484924E-1	-3.604001403E-1	3.827531905E-1
1.937403041E0	1.703340933E-2	1.318454742E-1	-3.129577339E-1	3.400233952E-1
1.945429055E0	3.046236932E-3	1.127099991E-1	-1.905491352E-1	2.214086637E-1
1.953485587E0	-5.194222182E-2	1.247091293E-1	-5.280096084E-3	1.351970442E-1
1.961542118E0	-5.417100340E-2	1.486921310E-1	1.976361573E-1	2.531874762E-1
1.969598650E0	-1.352919824E-2	1.271944046E-1	3.881659210E-1	4.086982236E-1
1.977624664E0	3.173048049E-2	1.032981873E-1	5.324413180E-1	5.432965084E-1
1.985681196E0	6.729512662E-2	1.200971603E-1	5.155199766E-1	5.335848651E-1
1.993737727E0	4.544438794E-2	1.081523895E-1	4.237856865E-1	4.397231400E-1
2.001794259E0	1.441811025E-2	1.321077347E-1	2.928562760E-1	3.215977828E-1
2.009850791E0	-9.522736073E-3	1.153469086E-1	1.301302016E-1	1.741535563E-1
2.017907322E0	-4.034749791E-2	1.320924759E-1	2.865780890E-2	1.410588983E-1
2.025963854E0	-6.869973242E-2	1.368637085E-1	2.348705381E-2	1.549289180E-1
2.033989868E0	-1.626782864E-2	1.057195663E-1	1.165410131E-2	1.075968728E-1
2.042046399E0	6.708732992E-2	1.080932617E-1	-7.146463543E-2	1.459179810E-1
2.050102931E0	3.583952039E-2	1.320133209E-1	-1.904306710E-1	2.344692487E-1
2.058159463E0	2.639569342E-2	1.104450226E-1	-2.380350679E-1	2.637338226E-1
2.066185477E0	-6.419423968E-2	1.607131958E-1	-2.341695726E-1	2.911786744E-1
2.074242008E0	-4.735299572E-2	1.224040985E-1	-2.170320153E-1	2.536295827E-1
2.082298540E0	5.090250447E-2	1.152229309E-1	-2.558182478E-1	2.851497233E-1
2.090355072E0	6.521978229E-2	1.319932938E-1	-2.810035050E-1	3.172362202E-1
